Product Title,Product Price,Warranty Period (Months),Accesorises warranty,Warranted by,SKU,Manufacturer Number,processor type,NPU (Neural Processing Unit),AI (Artificial Intelligence),display type,graphics card,display size,operating system,product type,model/chipset number,model series,generation/release,color,operating system architecture,processor speed,capacity,RAM,connectivity technology,ports,touch display,display resolution,cam resolution,multimedia features,special features,fingerprint,battery type,width,height/length,depth,weight,card reader,Shipping Weight (kg),Renewed Grade,Renewed Remarks
Asus ExpertBook B9 Laptop,"3,499",36,12 Months,Manufacturer,622210,90NX0SX1M0310,Intel Core i7-1165G7 (Evo 11th Gen),,,FHD-LED Anti-glare Display,Intel Iris Xe Graphics,"14""",Windows 10 Pro,Laptop,B9400,Asus ExpertBook,2021,Star Black,64 bit,2.8 GHz,1 TB M.2 NVMe PCIe 3.0 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/Micro HDMI/USB 3.2/Thunderbolt 4/Audio Combo Port,,1920 X 1080 (FHD),720p HD Camera with Privacy Shutter,Harman Kardon(Premium) Audio By DTS,"3 Years Warranty, Backlit Chicklet Keyboard",Yes,Lithium Ion (Li-Ion) - 4 Cell,32.00 cm ( 12.60 in ),20.30 cm ( 7.99 in ),1.49 cm ( .59 in ),1.01 kg ( 2.23 lb ),,,,
Apple MacBook Air 15 M2 Laptop,"6,799",24,12 Months,Manufacturer,619142,MQKV3ABA,M2 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Ventura,Laptop,,Apple MacBook Air,2023,Starlight,,,512 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt 3/USB 4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Six-speaker Sound System,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
Asus Vivobook Pro 15 OLED Laptop,"2,649",24,12 Months,Manufacturer,592364,K3500QCOLED4W,AMD Ryzen 5-5600H,,,OLED Display,NVIDIA GeForce RTX 3050 (4 GB),"15.6""",Windows 11,Laptop,K3500QC,Asus VivoBook,2022,Cool Silver,64 bit,3.3 GHz,512 GB PCIe NVMe M.2 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.2/USB-C/Audio Combo Port,,1920 X 1080 (FHD),720p HD Camera with Privacy Shutter,Harman Kardon,Backlit Chiclet Keyboard,,Lithium Ion (Li-Ion) - 3 Cell,35.98 cm ( 14.17 in ),23.53 cm ( 9.26 in ),1.99 cm ( .78 in ),1.65 kg ( 3.64 lb ),Yes,,,
Acer Swift Go 14 Laptop,"4,029",24,12 Months,Manufacturer,631024,NXKSGEM003,Intel Core Ultra 7 155H (Evo),,,2.8K OLED Display,Intel Arc Graphics,"14""",Windows 11,Laptop,SFG14-72,Acer Swift,2024,Silver,64 bit,1.4 - 4.8 GHz,1 TB SSD,32 GB RAM,Wi-Fi (6E)/Bluetooth (5.0),HDMI/USB 3.2/USB-C,,2880 X 1800 (OLED),QHD Webcam,Built-in Mic/Speakers,Backlit Keyboard,Yes,Lithium Ion (Li-Ion),31.20 cm ( 12.28 in ),21.70 cm ( 8.54 in ),1.49 cm ( .59 in ),1.20 kg ( 2.65 lb ),Yes,,,
Apple MacBook Pro 14 M4 Retina XDR Laptop,"8,499",24,12 Months,Manufacturer,646486,MW2V3ABA,M4 10-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,10-core GPU,"14.2""",macOS Sequoia,Laptop,,Apple MacBook Pro,2024,Space Black,,,1 TB SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",,Lithium Polymer (Li-Po),31.26 cm ( 12.31 in ),22.10 cm ( 8.70 in ),1.55 cm ( .61 in ),1.55 kg ( 3.42 lb ),Yes,,,
Apple MacBook Pro 14 M3 Max Retina XDR Laptop,"14,999",24,12 Months,Manufacturer,626811,MRX53ABA,M3 Max 16-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,30-core GPU,"14.2""",macOS Sonoma,Laptop,,Apple MacBook Pro,2023,Space Black,,,1 TB SSD,36 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,1080p FaceTime HD Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Ion Polymer (Li-Poly),31.26 cm ( 12.31 in ),22.12 cm ( 8.71 in ),1.55 cm ( .61 in ),1.62 kg ( 3.57 lb ),Yes,,,
Apple MacBook Air 15 M3 Laptop,"5,999",24,12 Months,Manufacturer,632678,MRYU3ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Sonoma,Laptop,,Apple MacBook Air,2024,Midnight,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
MSI Modern 14 Laptop,"2,229",24,12 Months,Agent,614170,9S714J112633,Intel Core i7-1255U (12th Gen),,,FHD-LED 60 Hz IPS Display,Intel Iris Xe Graphics,"14""",Windows 11,Laptop,C12M,MSI Modern,2022,Black,64 bit,P-core: 1.7 - 4.7 GHz/E-core: 1.2 - 3.5 GHz,512 GB SSD,16 GB RAM,Wi-Fi (6E)/Bluetooth (5.2),HDMI/USB 3.2/USB-C/USB 2.0/Audio Combo Port,,1920 X 1080 (FHD),720p HD Camera,2 X 2W Stereo Speakers,,,Lithium Ion (Li-Ion) - 3 Cell,31.90 cm ( 12.56 in ),22.30 cm ( 8.78 in ),1.90 cm ( .75 in ),1.73 kg ( 3.81 lb ),Yes,,,
Apple MacBook Pro 14 M3 Retina XDR Laptop,"7,899",24,12 Months,Manufacturer,626814,MTL83ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,10-core GPU,"14.2""",macOS Sonoma,Laptop,,Apple MacBook Pro,2023,Space Grey,,,1 TB SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,1080p FaceTime HD Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Polymer (Li-Po),,,,1.55 kg ( 3.42 lb ),Yes,,,
Apple MacBook Air 15 M3 Laptop,"5,999",24,12 Months,Manufacturer,632645,MRYM3ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Sonoma,Laptop,,Apple MacBook Air,2024,Space Grey,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
