Product Title,Product Price,Warranty Period (Months),Accesorises warranty,Warranted by,SKU,Manufacturer Number,processor type,NPU (Neural Processing Unit),AI (Artificial Intelligence),display type,graphics card,display size,operating system,product type,model/chipset number,model series,generation/release,color,operating system architecture,processor speed,capacity,RAM,connectivity technology,ports,touch display,display resolution,cam resolution,multimedia features,special features,fingerprint,battery type,width,height/length,depth,weight,card reader,Shipping Weight (kg),Renewed Grade,Renewed Remarks
Microsoft Surface Laptop 7 Laptop,"6,799",24,Not Applicable,JARIR,639204,ZHH00039,Snapdragon X Elite 12 Core,Qualcomm Hexagon NPU 45 TOPS,Yes,PixelSense Flow,Qualcomm Adreno GPU,"15""",Windows 11 Home,Laptop,ZHH-00039,Microsoft Surface Laptop 7,2024,Black,,3.4 GHz,512 GB SSD,16 GB RAM,Wi-Fi (7)/Bluetooth (5.4),USB-C/USB 3.1/Surface Connect/3.5 mm Connector,Yes,2496 x 1664,1080P FHD Camera,,CoPilot+,,Lithium Ion (Li-Ion) - 6 Cell,32.90 cm ( 12.95 in ),23.90 cm ( 9.41 in ),1.80 cm ( .71 in ),1.60 kg ( 3.53 lb ),,,,
Huawei MateBook 14 Laptop,"3,999",24,12 Months,Manufacturer,631440,KLVG5651T,Intel Core i5-1340P (13th Gen),,,QHD-LED IPS Display,Intel Iris Xe Graphics,"14""",Windows 11,Laptop,,Huawei MateBook,2023,Space Grey,64 bit,P-core: 1.9 - 4.6 GHz/E-core: 1.4 - 3.4 GHz,512 GB,16 GB RAM,Wi-Fi/Bluetooth,USB 3.2/USB-C/Audio Combo Port,Yes,2160 x 1440,720p HD Camera,Immersive Surround Sound,,Yes,Lithium Ion Polymer (Li-Poly),307.50 mm ( 12.11 in ),223.80 mm ( 8.81 in ),15.90 mm ( .63 in ),1.49 kg ( 3.28 lb ),,,,
Apple MacBook Air 15 M3 Laptop,"6,999",24,12 Months,Manufacturer,632676,MRYT3ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Sonoma,Laptop,,Apple MacBook Air,2024,Starlight,,,512 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
Lenovo Yoga Slim 6 OLED Laptop,"3,399",24,12 Months,Manufacturer,618740,82WU008EAD,Intel Core i7-1260P (Evo 12th Gen),,,WUXGA-OLED 400N,Intel Iris Xe Graphics,"14""",Windows 11,Laptop,14IAP8,Lenovo Yoga,2023,Storm Grey,64 bit,P-core: 2.1 - 4.7 GHz/E-core: 1.5 - 3.4 GHz,1 TB PCIe NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/Thunderbolt 4/Audio Combo Port,,1920 X 1200 (WUXGA),1080p HD Camera with Privacy Shutter,"Dolby Atmos Sound System, (2 X 2W) Speakers",,,Lithium Polymer (Li-Po),31.20 cm ( 12.28 in ),22.10 cm ( 8.70 in ),1.49 cm ( .59 in ),1.35 kg ( 2.98 lb ),,,,
Apple MacBook Air 13 M3 Laptop,"7,099",24,12 Months,Manufacturer,646473,MC8Q4ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"13.6""",macOS Sequoia,Laptop,,Apple MacBook Air,2024,Midnight,,,512 GB SSD,24 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.13 cm ( .44 in ),1.24 kg ( 2.73 lb ),,,,
Asus Vivobook S 14 OLED Laptop,"4,399",24,12 Months,Manufacturer,637827,M5406UAQD048W,AMD Ryzen 9-8945HS,AMD RYZEN AI up to 39 TOPS,Yes,OLED Display,AMD Radeon Graphics,"14""",Windows 11 Home,Laptop,M5406UA,Asus VivoBook,2024,Cool Silver,64 bit,4.0 GHz,1 TB M.2 NVMe PCIe 4.0 SSD,32 GB RAM,Wi-Fi (6E)/Bluetooth (5.3),HDMI 2.1/USB 3.2/USB-C 3.2/USB-C 4.0/Audio Combo Port,,1920 X 1200 (WUXGA),FHD IR Camera with Privacy Shutter,"Built-in Speaker/Array Microphone, Harman/Kardon","Backlit Chiclet Keyboard 1-Zone RGB, with Copilot Key",,Lithium Ion (Li-Ion) - 4 Cell,31.05 cm ( 12.22 in ),22.19 cm ( 8.74 in ),1.59 cm ( .63 in ),1.10 kg ( 2.43 lb ),Yes,,,
Apple MacBook Pro 16 M4 Pro Retina XDR Laptop,"11,499",24,12 Months,Manufacturer,646479,MX2T3ABA,M4 Pro 14-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,20-core GPU,"16""",macOS Sequoia,Laptop,,Apple MacBook Pro,2024,Silver,,,512 GB SSD,24 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 5/3.5 mm Headphone Jack,,3456 X 2234,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Polymer (Li-Po),35.57 cm ( 14.00 in ),24.81 cm ( 9.77 in ),1.68 cm ( .66 in ),2.14 kg ( 4.72 lb ),Yes,,,
Acer Aspire 3 Laptop,"1,579",24,12 Months,Manufacturer,621022,NXKMKEM007,Intel Core i3-N305 (13th Gen),,,WUXGA Anti-glare Display,Intel UHD Graphics,"14""",Windows 11,Laptop,A314-36P,Acer Aspire,2023,Silver,64 bit,1.8 GHz,256 GB NVMe M.2 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C,,1920 X 1200 (WUXGA),720p HD Camera,Built-in Speaker/Mic,,,Lithium Ion (Li-Ion),31.80 cm ( 12.52 in ),22.00 cm ( 8.66 in ),1.80 cm ( .71 in ),1.90 kg ( 4.19 lb ),,,,
Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion Laptop,"4,299",24,12 Months,Manufacturer,618672,8F1M8EAA2N,Intel Core i7-1360P (13th Gen),,,FHD IPS GL 250N,Intel Iris Xe Graphics,"15.6""",Windows 11,Laptop,15-eg3002nx,HP Pavilion,2023,Fog Blue,64 bit,P-core: 2.2 - 5.0 GHz/E-core: 1.6 - 3.7 GHz,1 TB PCIe NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.1/USB-C/Audio Combo Port,,1920 X 1080 (FHD),Wide Vision HD Webcam,"B&O PLAY, Dual Speakers, HP Audio Boost",,,Lithium Ion (Li-Ion) - 3 Cell,35.85 cm ( 14.11 in ),24.20 cm ( 9.53 in ),1.75 cm ( .69 in ),1.40 kg ( 3.09 lb ),,,,
Apple MacBook Pro 14 M2 Pro Retina XDR Laptop,"10,399",24,12 Months,Manufacturer,607940,MPHJ3ABA,M2 Pro 12-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Liquid Retina XDR Display,19-core GPU,"14.2""",macOS Ventura,Laptop,,Apple MacBook Pro,2023,Silver,,,1 TB SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Out,,3024 X 1964,1080p FaceTime HD Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Ion Polymer (Li-Poly),31.26 cm ( 12.31 in ),22.12 cm ( 8.71 in ),1.55 cm ( .61 in ),1.60 kg ( 3.53 lb ),Yes,,,
Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei MateBook D 16 2024 Laptop,"4,299",24,12 Months,Manufacturer,633446,MCLGW7611,Intel Core i7-13700H (13th Gen),,,FHD-IPS Anti-glare,Intel Iris Xe Graphics,"16""",Windows 11 Home,Laptop,,Huawei MateBook,2024,Mystic Silver,64 bit,P-core: 2.4 - 5.0 GHz/E-core: 1.8 - 3.7 GHz,1 TB SSD,16 GB RAM,Wi-Fi/Bluetooth,USB 3.2/USB-C/Audio Combo,,1920 X 1200 (WUXGA),720p HD Camera,2 X 2W Speakers,,Yes,Lithium Polymer (Li-Po),248.70 mm ( 9.79 in ),356.70 mm ( 14.04 in ),18.00 mm ( .71 in ),1.73 kg ( 3.81 lb ),,,,
Apple MacBook Pro 16 M4 Pro Retina XDR Laptop,"13,399",24,12 Months,Manufacturer,646494,MX2Y3ABA,M4 Pro 14-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,20-core GPU,"16""",macOS Sequoia,Laptop,,Apple MacBook Pro,2024,Space Black,,,512 GB SSD,48 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 5/3.5 mm Headphone Jack,,3456 X 2234,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Polymer (Li-Po),35.57 cm ( 14.00 in ),24.81 cm ( 9.77 in ),1.68 cm ( .66 in ),2.14 kg ( 4.72 lb ),Yes,,,
Lenovo IdeaPad Slim 5 Laptop,"4,029",24,12 Months,Manufacturer,638079,83DA007VAD,Intel Core Ultra 7 155H,Intel AI Boost,Yes,WUXGA-OLED 400N,Intel Arc Graphics,"14""",Windows 11 Home,Laptop,14IMH9,Lenovo IdeaPad,2024,Cloud Grey,64 bit,1.4 GHz,512 GB PCIe Gen 4 NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C (DisplayPort 1.4)/Audio Combo Port,,1920 X 1200 (WUXGA),FHD 1080p + IR with Privacy Shutter,"Dolby Audio, Stereo Speakers (2 X 2 W)",,,Lithium Ion (Li-Ion),31.20 cm ( 12.28 in ),22.10 cm ( 8.70 in ),1.69 cm ( .67 in ),1.48 kg ( 3.26 lb ),Yes,,,
MSI Modern 15 H AI Laptop,"2,529",24,12 Months,Agent,630726,9S715H551012,Intel Core Ultra 5 125H,,,FHD-LCD IPS Display,Intel Iris Xe Graphics,"15.6""",Windows 11 Home,Laptop,15H AI,MSI Modern,2024,Black,64 bit,1.4 GHz,512 GB,16 GB RAM,Wi-Fi/Bluetooth,HDMI 2.1 (4K@60Hz)/USB 3.2/USB-C (DisplayPort),,1920 X 1080 (FHD),720p HD Camera,2 X 2W Speaker,,,Lithium Polymer (Li-Po) - 3 Cell,359.00 mm ( 14.13 in ),241.00 mm ( 9.49 in ),19.90 mm ( .78 in ),1.90 kg ( 4.19 lb ),Yes,,,
Huawei MateBook D 16 2024 Laptop,"2,199",24,12 Months,Manufacturer,628654,MCLFW5851,Intel Core i5-12450H (12th Gen),,,FHD IPS AG 300N,Intel UHD Graphics,"16""",Windows 11 Home,Laptop,,Huawei MateBook,2024,Mystic Silver,64 bit,P-core: 2.0 - 4.4 GHz/E-core: 1.5 - 3.3 GHz,512 GB PCIe NVMe M.2 SSD,8 GB RAM,Wi-Fi (6)/Bluetooth (5.1),HDMI/USB 3.2/USB-C/Audio Combo Port,,1920 X 1200 (WUXGA),720p HD Camera,2 X 2W Speakers,,Yes,Lithium Polymer (Li-Po),248.70 mm ( 9.79 in ),356.70 mm ( 14.04 in ),18.00 mm ( .71 in ),1.70 kg ( 3.75 lb ),,,,
Apple MacBook Pro 14 M4 Pro Retina XDR Laptop,"9,499",24,12 Months,Manufacturer,646490,MX2E3ABA,M4 Pro 12-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,16-core GPU,"14.2""",macOS Sequoia,Laptop,,Apple MacBook Pro,2024,Silver,,,512 GB SSD,24 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",,Lithium Polymer (Li-Po),31.26 cm ( 12.31 in ),22.10 cm ( 8.70 in ),1.55 cm ( .61 in ),1.55 kg ( 3.42 lb ),Yes,,,
MSI Modern 14 Laptop,"1,629",24,12 Months,Agent,621327,9S714J112691,Intel Core i5-1235U (12th Gen),,,FHD-LED 60 Hz IPS Display,Intel Iris Xe Graphics,"14""",Windows 11,Laptop,Modern 14 C12MO,MSI Modern,2022,Black,64 bit,2.0 GHz,512 GB PCIe NVMe M.2 SSD,8 GB RAM,Wi-Fi (6E)/Bluetooth (5.2),HDMI/USB 2.0/USB 3.2/Audio Combo Port,,1920 X 1080 (FHD),HD Webcam,"2 X 2W Speakers, Hi-Res Audio Certified",,,Lithium Ion Polymer (Li-Poly) - 3 Cell,31.90 cm ( 12.56 in ),22.30 cm ( 8.78 in ),1.90 cm ( .75 in ),1.40 kg ( 3.09 lb ),Yes,,,
Not available,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook Pro 14 M4 Pro Retina XDR Laptop,"11,399",24,12 Months,Manufacturer,646498,MX2J3ABA,M4 Pro 14-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,20-core GPU,"14.2""",macOS Sequoia,Laptop,,Apple MacBook Pro,2024,Space Black,,,1 TB SSD,24 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 5/3.5 mm Headphone Jack,,3024 X 1964,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",,Lithium Polymer (Li-Po),31.26 cm ( 12.31 in ),22.10 cm ( 8.70 in ),1.55 cm ( .61 in ),1.55 kg ( 3.42 lb ),Yes,,,
Apple MacBook Air 13 M3 Laptop,"5,199",24,12 Months,Manufacturer,632633,MRXN3ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,8-core GPU,"13.6""",macOS Sonoma,Laptop,,Apple MacBook Air,2024,Space Grey,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.10 cm ( .43 in ),1.24 kg ( 2.73 lb ),,,,
HP EliteBook 840 G10 Laptop,"6,019",24,12 Months,Manufacturer,619497,5Z4G0ESEA2N,Intel Core i7-1370P (13th Gen),,,WUXGA Anti-glare 400N,Intel Iris Xe Graphics,"14""",Windows 11 Pro,Laptop,,HP EliteBook,2023,Aluminum Silver,64 bit,1.4 GHz,1 TB M.2 NVMe PCIe 4.0 SSD,32 GB RAM,Wi-Fi (6E)/Bluetooth (5.2),HDMI 2.1/USB-A/USB-C /Audio Combo Port,,1920 X 1200 (WUXGA),5 MP Privacy Camera,"Bang & Olufsen with Dual Speakers/Array Mic, Audio Combo Port",,,Lithium Polymer (Li-Po) - 3 Cell,31.56 cm ( 12.43 in ),22.40 cm ( 8.82 in ),1.92 cm ( .76 in ),1.36 kg ( 3.00 lb ),,,,
Lenovo Yoga Pro 9 Laptop,"8,499",24,12 Months,Manufacturer,630966,83DN0045AD,Intel Core Ultra 9 185H,Intel AI Boost,,3.2K Mini LED 165 Hz,NVIDIA GeForce RTX 4060 (8 GB),"16""",Windows 11 Home,Laptop,16IMH9,Lenovo Yoga,2024,Luna Grey,64 bit,P-core: 2.3 - 5.1 GHz/E-core: 1.8 - 3.8 GHz,1 TB PCIe NVMe M.2 SSD,32 GB RAM,Wi-Fi (6E)/Bluetooth (5.1),HDMI/USB 3.2/Thunderbolt 4/Audio Combo Port,Yes,3200 X 2000,5 MP Webcam IR Camera + TOF with E-camera Shutter,"Dolby Atmos, Quadruple Speakers with Smart Amp",,,Lithium Polymer (Li-Po),36.20 cm ( 14.25 in ),25.30 cm ( 9.96 in ),1.79 cm ( .70 in ),2.10 kg ( 4.63 lb ),,,,
Huawei MateBook D 14 Laptop,"2,699",24,12 Months,Manufacturer,631589,MDFW5651D,Intel Core i5-12450H (12th Gen),,,FHD IPS AG 300N,Intel UHD Graphics,"14""",Windows 11 Home,Laptop,,Huawei MateBook,2023,Mystic Silver,64 bit,P-core: 2.0 - 4.4 GHz/E-core: 1.5 - 3.3 GHz,512 GB PCIe NVMe M.2 SSD,16 GB RAM,Wi-Fi (6)/Bluetooth (5.1),HDMI/USB 3.2/USB-C/Audio Combo Port,,1920 X 1080 (FHD),HD (1 MP) Webcam,2 X 2W Speakers,"WiFi 6, Huawei Share, Eye Comfort Mode",Yes,Lithium Polymer (Li-Po) - 4 Cell,227.79 mm ( 8.97 in ),314.50 mm ( 12.38 in ),68.00 mm ( 2.68 in ),1.39 kg ( 3.06 lb ),,,,
Apple MacBook Pro 14 M4 Retina XDR Laptop,"7,499",24,12 Months,Manufacturer,646487,MW2W3ABA,M4 10-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,10-core GPU,"14.2""",macOS Sequoia,Laptop,,Apple MacBook Pro,2024,Silver,,,512 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",,Lithium Polymer (Li-Po),31.26 cm ( 12.31 in ),22.10 cm ( 8.70 in ),1.55 cm ( .61 in ),1.55 kg ( 3.42 lb ),Yes,,,
Apple MacBook Air 13 M3 Laptop,"5,199",24,12 Months,Manufacturer,646467,MC8H4ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,8-core GPU,"13.6""",macOS Sequoia,Laptop,,Apple MacBook Air,2024,Silver,,,256 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.10 cm ( .43 in ),1.24 kg ( 2.73 lb ),,,,
Apple MacBook Pro 14 M4 Max Retina XDR Laptop,"15,199",24,12 Months,Manufacturer,646495,MX2G3ABA,M4 Max 14-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,32-core GPU,"14.2""",macOS Sequoia,Laptop,,Apple MacBook Pro,2023,Silver,,,1 TB SSD,36 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",,Lithium Polymer (Li-Po),31.26 cm ( 12.31 in ),22.10 cm ( 8.70 in ),1.55 cm ( .61 in ),1.55 kg ( 3.42 lb ),Yes,,,
Asus Vivobook 16X Laptop,"3,399",24,12 Months,Manufacturer,641089,K3605ZCMB374W,Intel Core i7-12700H (12th Gen),,,WUXGA-LED IPS,NVIDIA GeForce RTX 3050 (4 GB),"16""",Windows 11 Home,Laptop,K3605ZC,Asus VivoBook,2024,Indie Black,64 bit,2.3 GHz,1 TB M.2 NVMe PCIe 3.0 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C/Audio Combo Port,,1920 X 1200,720p HD Camera with Privacy Shutter,Built-in Mic/Speaker/SonicMaster,Chiclet Keyboard with Num-key,,Lithium Ion (Li-Ion) - 3 Cell,35.80 cm ( 14.09 in ),24.90 cm ( 9.80 in ),1.80 cm ( .71 in ),1.80 kg ( 3.97 lb ),Yes,,,
Apple MacBook Pro 14 M4 Pro Retina XDR Laptop,"9,499",24,12 Months,Manufacturer,646496,MX2H3ABA,M4 Pro 12-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,16-core GPU,"14.2""",macOS Sequoia,Laptop,,Apple MacBook Pro,2024,Space Black,,,512 GB SSD,24 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",,Lithium Polymer (Li-Po),31.26 cm ( 12.31 in ),22.10 cm ( 8.70 in ),1.55 cm ( .61 in ),1.55 kg ( 3.42 lb ),Yes,,,
Acer Swift Go 14 Laptop,"4,529",24,12 Months,Manufacturer,635216,NXKSGEM005,Intel Core Ultra 7 155H (Evo),,,OLED Display,Intel Arc Graphics,"14""",Windows 11,Laptop,SFG14-73,Acer Swift,2024,Silver,64 bit,1.4 - 4.8 GHz,1 TB SSD,32 GB RAM,Wi-Fi (6E)/Bluetooth (5.0),HDMI/USB 3.2/USB-C,,2880 X 1800,QHD Webcam,,Backlit Keyboard,Yes,Lithium Ion (Li-Ion),312.00 mm ( 12.28 in ),217.00 mm ( 8.54 in ),14.90 mm ( .59 in ),1.20 kg ( 2.65 lb ),Yes,,,
Huawei MateBook X Pro Laptop,"6,999",24,12 Months,Manufacturer,635791,VGHH7611TMBLK,Intel Core Ultra 7 155H,Intel AI Boost,Yes,3K OLED Display,Intel Arc Graphics,"14.2""",Windows 11 Home,Laptop,,Huawei MateBook,2024,Black,64 bit,P-core: 1.4 - 4.8 GHz/E-core: 0.9 - 3.8 GHz,1 TB PCIe NVMe M.2 SSD,16 GB RAM,Wi-Fi (6E)/Bluetooth (5.3),USB 3.2/USB-C/Thunderbolt 4,Yes,3120 X 2080,1080p HD Camera,"6 Speakers, 4 Microphone",,Yes,Lithium Polymer (Li-Po),310.00 mm ( 12.20 in ),222.00 mm ( 8.74 in ),13.50 mm ( .53 in ),980.00 g ( 2.16 lb ),,,,
Asus Vivobook S 15 OLED Laptop,"2,399",24,12 Months,Manufacturer,626061,K5504VAOLED1W,Intel Core i5-13500H (Evo 13th EVO),,,FHD-OLED Display,Intel Iris Xe Graphics,"15.6""",Windows 11 Home,Laptop,K5504VA,Asus VivoBook,2023,Cool Silver,64 bit,2.6 GHz,512 GB PCIe NVMe M.2 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.2/Audio Combo Port,,1920 X 1080 (FHD),FHD 1080p with Privacy Shutter,"Built-in Speaker, Built-in Array, Harman Kardon",Backlit Chiclet Keyboard,Yes,Lithium Ion (Li-Ion) - 3 Cell,35.93 cm ( 14.15 in ),22.94 cm ( 9.03 in ),1.79 cm ( .70 in ),1.70 kg ( 3.75 lb ),,,,
Apple MacBook Air 15 M3 Laptop,"7,899",24,12 Months,Manufacturer,646484,MC9L4ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Sequoia,Laptop,,Apple MacBook Air,2024,Midnight,,,512 GB SSD,24 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
HP Notebook 15s Laptop,"2,319",24,12 Months,Manufacturer,627297,9P7P3EAA2N,Intel Core i5-1334U (13th Gen),,,FHD-IPS Micro Edge Display,Intel Iris Xe Graphics,"15.6""",Windows 11,Laptop,15-fd0029nx,HP Notebook,2023,Natural Silver,64 bit,P-core: 1.3 - 4.6 GHz/E-core: 0.9 - 3.4 GHz,512 GB PCIe NVMe M.2 SSD,8 GB RAM,Wi-Fi (6)/Bluetooth (5.0),HDMI/USB 3.1/USB-C/Audio Combo Port,,1920 X 1080 (FHD),True Vision HD Webcam,Built-in Dual Speakers/Mic,,,Lithium Ion Polymer (Li-Poly) - 3 Cell,35.98 cm ( 14.17 in ),23.60 cm ( 9.29 in ),1.86 cm ( .73 in ),1.59 kg ( 3.51 lb ),,,,
Apple MacBook Pro 14 M4 Max Retina XDR Laptop,"15,199",24,12 Months,Manufacturer,646499,MX2K3ABA,M4 Max 14-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,32-core GPU,"14.2""",macOS Sequoia,Laptop,,Apple MacBook Pro,2023,Space Black,,,1 TB SSD,36 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",,Lithium Polymer (Li-Po),31.26 cm ( 12.31 in ),22.10 cm ( 8.70 in ),1.55 cm ( .61 in ),1.55 kg ( 3.42 lb ),Yes,,,
Apple MacBook Air 13 M3 Laptop,"7,099",24,12 Months,Manufacturer,632661,MXCU3ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"13.6""",macOS Sonoma,Laptop,,Apple MacBook Air,2024,Starlight,,,512 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.13 cm ( .44 in ),1.24 kg ( 2.73 lb ),,,,
Acer Aspire 3 Laptop,"1,929",24,12 Months,Manufacturer,595801,NXK6SEM001,Intel Core i5-1235U (12th Gen),,,Acer Cinecrystal FHD LED,Intel Iris Xe Graphics,"15.6""",Windows 11,Laptop,A315-59,Acer Aspire,2022,Silver,64 bit,P-core: 1.3 - 4.4 GHz/E-core: 0.9 - 3.3 GHz,512 GB NVMe M.2 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.1/RJ-45,,1920 X 1080 (FHD),720p HD Camera,Stereo Speakers,,,Lithium Ion (Li-Ion) - 4 Cell,38.16 cm ( 15.02 in ),25.90 cm ( 10.20 in ),1.90 cm ( .75 in ),1.90 kg ( 4.19 lb ),,,,
Lenovo IdeaPad Slim 3 Laptop,"2,229",24,12 Months,Manufacturer,623278,83ER008YAD,Intel Core i5-12450H (12th Gen),,,FHD IPS AG 300N,Intel UHD Graphics,"15.6""",Windows 11 Home,Laptop,15IAH8,Lenovo IdeaPad,2023,Arctic Grey,64 bit,P-core: 2.0 - 4.4 GHz/E-core: 1.5 - 3.3 GHz,1 TB PCIe NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C (DisplayPort 1.2)/Audio Combo Port,,1920 X 1080 (FHD),720p HD Camera with Privacy Shutter,"Dolby Audio, Stereo Speakers (2 X 1.5 W)",,Yes,Lithium Ion (Li-Ion),35.90 cm ( 14.13 in ),23.50 cm ( 9.25 in ),1.79 cm ( .70 in ),1.62 kg ( 3.57 lb ),Yes,,,
Asus Vivobook Go 15 Laptop,"1,499",24,12 Months,Manufacturer,635962,E1504GANJ060W,Intel Core i3-N305 (13th Gen),,,FHD-LED 60 Hz IPS Display,Intel UHD Graphics,"15.6""",Windows 11 Home,Laptop,E1504,Asus VivoBook,2024,Cool Silver,64 bit,1.8 GHz,512 GB PCIe 3.0 NVMe M.2 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.2/USB-C/Audio ComboPort,,1920 X 1080 (FHD),720p HD Camera with Privacy Shutter,"Built-in Speakers, Array Microphone",,,Lithium Ion (Li-Ion) - 3 Cell,36.03 cm ( 14.19 in ),23.25 cm ( 9.15 in ),1.79 cm ( .70 in ),1.70 kg ( 3.75 lb ),,,,
