Product_Name,Product_Price,Warranty_Period(Months),Processor_Type,Screen_Size(inch),Operating_System,Color,Storage_Capacity,RAMGB,Touch_Display,Battery_Type,Storage_Type,Storage_Capacity_GB,Pixels_Width,Pixels_Height,Processor_Type_encoded,Operating_System_encoded,Color_encoded,Battery_Type_encoded,Storage_Type_encoded,kmeans
ThinkPad E14 Gen 5 (Intel),1399,24.0,Intel Core i7-13700H (13th Gen),14.0,Dos,Graphite Black,512GB SSD,16,False,Integrated 57Wh,SSD,512.0,1920,1200,74,0,22,31,13,0
ASUS TUF FX507ZC4-HN008,3399,24.0,Intel Core i7-12700H (12th Gen),15.6,Dos,Gray,512GB SSD M.2,16,False,"56WHrs, 4S1P, 4-cell Li-ion",SSD M.2,512.0,1920,1080,69,0,23,16,14,0
Apple MacBook Pro M3 Pro,9299,24.0,Apple M3 Pro chip,14.2,macOS Sonoma,Space Black,512GB SSD,18,False,72.4-watt-hour lithium-polymer battery,SSD,512.0,3024,1964,22,12,62,21,13,3
Acer Nitro 5 AN515-58-71EW,3399,24.0,Intel Core i7-12650H (12th Gen),15.6,Dos,Obsidian Black,512GB SSD M.2,16,False,57Wh Li-ion battery,SSD M.2,512.0,1920,1080,67,0,46,17,14,0
HP 255 G9,1999,24.0,AMD Ryzen 7-5825U,15.6,Dos,Asteroid Silver,512GB SSD M.2,16,False,"3-cell, 41 Wh Li-ion",SSD M.2,512.0,1920,1080,9,0,4,6,14,0
Dell G15 5530 Gaming,5299,24.0,Intel Core i7-13650HX (13th Gen),15.6,Dos,Dark Shadow Grey,512GB SSD M.2,16,False,"6-Cell Battery, 86WH, integrated",SSD M.2,512.0,1920,1080,73,0,10,18,14,3
HP EliteBook 640 14 inch G9,2399,36.0,Intel Core i5-1235U (12th Gen),14.0,Dos,Silver,256GB SSD M.2,8,False,"HP Long Life 3-cell, 51 Wh Li-ion",SSD M.2,256.0,1920,1080,47,0,58,25,14,0
Lenovo IdeaPad Flex 5 14ALC7,2094,24.0,AMD Ryzen 5-5500U,14.0,Windows 11 Home,Storm Grey,512GB SSD M.2,8,True,Integrated 52.5Wh,SSD M.2,512.0,1920,1200,2,6,70,30,14,0
ThinkPad T14s Gen 4 (Intel),2094,36.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11 Professional,Deep Black,1TB SSD M.2,16,False,Integrated 57Wh,SSD M.2,1024.0,1920,1200,70,8,11,31,14,1
Acer Nitro 5 AN515-58-542X,2999,24.0,Intel Core i5-12500H (12th Gen),15.6,Dos,Obsidian Black,512GB SSD M.2,8,False,57Wh Li-ion battery,SSD M.2,512.0,1920,1080,51,0,46,17,14,0
Acer Gaming Predator Helios Neo 16 PHN16-71-71P2,5799,24.0,Intel Core i7-13700HX (13th Gen),16.0,Windows 11 Home,Obsidian Black,512GB SSD M.2,16,False,"4-cell, 90 Wh Li-ion polymer",SSD M.2,512.0,1920,1200,75,6,46,11,14,3
Asus Vivobook X1500EP-BQ588,1999,24.0,Intel Core i5-1135G7 (11th Gen),15.6,Dos,Indie Black,1TB SSD M.2,8,False,Lithium Ion (Li-Ion) 2 Cell,SSD M.2,1024.0,1920,1080,45,0,29,45,14,0
Lenovo Gaming LOQ 16IRH8,4499,24.0,Intel Core i7-13620H (13th Gen),15.6,Dos,Storm Grey,512GB SSD M.2,16,False,Integrated 60Wh,SSD M.2,512.0,1920,1200,72,0,70,33,14,3
Apple MacBook Pro M3,8099,24.0,Apple M3 chip,14.2,macOS Sonoma,Silver,1TB SSD,8,False,70-watt-hour lithium-polymer battery,SSD,1024.0,3024,1964,23,12,58,20,13,1
Dell Inspiron 14 7430 2-in-1,3399,24.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11 Home,Platinum Silver,512GB SSD M.2,16,True,"4 Cell, integrated 54Wh",SSD M.2,512.0,1920,1200,70,6,51,9,14,0
Asus ROG Strix G614JI-N3082,7999,24.0,Intel Core i7-13650HX (13th Gen),16.0,Dos,Eclipse Gray,1TB SSD M.2,32,False,"90WHrs, 4S1P, 4-cell Li-ion",SSD M.2,1024.0,1920,1200,73,0,16,22,14,1
Asus Vivobook X1504ZA-NJ672,1699,24.0,Intel Core i5-1235U (12th Gen),15.6,Dos,Cool Silver,512GB SSD M.2,8,False,"3-cell Li-ion, 42WHrs, 3S1P",SSD M.2,512.0,1920,1080,47,0,8,4,14,0
HP 250 G10,2399,24.0,Intel Core i7-1355U (13th Gen),15.6,Dos,Turbo silver with Aluminum Top Cover,512GB SSD M.2,8,False,"HP Long Life 3-cell, 41 Wh Li-ion",SSD M.2,512.0,1920,1080,70,0,74,23,14,0
Acer Aspire 3 A315-58G-5657,1799,24.0,Intel Core i5-1135G7 (11th Gen),15.6,Dos,Pure Silver,1TB HDD + 256GB SSD M.2,8,False,Lithium Ion (Li-Ion),HDD + 256GB SSD M.2,1024.0,1920,1080,45,0,53,41,2,2
Asus Vivobook 14 Flip TP3402ZA-LZ058W,2649,24.0,Intel Core i5-12500H (12th Gen),14.0,Windows 11 Home,Cool Silver,512GB SSD M.2,8,True,"3-cell Li-ion, 50WHrs, 3S1P",SSD M.2,512.0,1920,1200,51,6,8,5,14,0
Dell Vostro 15 3520,1749,24.0,Intel Core i5-1235U (12th Gen),15.6,Dos,Black,512GB SSD M.2,8,False,"3-cell, 41 Wh Li-ion",SSD M.2,512.0,1920,1080,47,0,5,6,14,0
Dell Vostro 15 3520,2349,24.0,Intel Core i7-1255U (12th Gen),15.6,Dos,Black,512GB SSD M.2,8,False,"3-cell, 41 Wh Li-ion",SSD M.2,512.0,1920,1080,64,0,5,6,14,0
Asus Vivobook X1504VA-NJ093,2449,24.0,Intel Core i7-1355U (13th Gen),15.6,Dos,Quiet Blue,512GB SSD M.2,16,False,"3-cell Li-ion, 42WHrs, 3S1P",SSD M.2,512.0,1920,1080,70,0,54,4,14,0
ThinkPad E14 Gen 5 (Intel),2449,24.0,Intel Core i5-1335U (13th Gen),14.0,Dos,Graphite Black,512GB SSD M.2,8,False,Integrated 47Wh,SSD M.2,512.0,1920,1200,53,0,22,29,14,0
Surface Pro 8,3699,24.0,Intel Core i5-1135G7 (11th Gen),13.0,Windows 11 Home,Platinum,256GB SSD,8,True,Up to 16 hours of typical device usage,SSD,256.0,2880,1920,45,6,49,55,13,0
Lenovo LOQ 15IRH8,2899,24.0,Intel Core i5-13420H (13th Gen),15.6,Dos,Storm Grey,512GB SSD M.2,16,False,Integrated 60Wh,SSD M.2,512.0,1920,1080,56,0,70,33,14,0
ThinkBook 14 G4 IAP,2899,36.0,Intel Core i7-1255U (12th Gen),14.0,Windows 11 Professional,Mineral Grey,512GB SSD M.2,16,False,Lithium 3 Cell,SSD M.2,512.0,1920,1080,64,8,38,39,14,0
Lenovo Legion 5 16IRX9,5549,24.0,Intel Core i7-14650HX (14th Generation),16.0,Dos,Luna Grey,1TB SSD M.2,16,False,Integrated 80Wh,SSD M.2,1024.0,2560,1600,77,0,33,36,14,1
Acer Gaming Predator Helios Neo 16 PHN16-71-74ZT,5299,24.0,Intel Core i7-13700HX (13th Gen),16.0,Windows 11 Home,Obsidian Black,512GB SSD M.2,16,False,"4-cell, 90 Wh Li-ion polymer",SSD M.2,512.0,1920,1200,75,6,46,11,14,3
Apple MacBook Pro 16-Inch M3 Pro,11299,24.0,Apple M2 Pro chip,16.2,macOS Sonoma,Silver,512GB SSD,18,False,100-watt-hour lithium-polymer battery,SSD,512.0,3456,2234,20,12,58,0,13,3
MacBook Air M1 2020,3199,24.0,Apple M1 chip,13.3,macOS Big Sur,Silver,256GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1600,19,9,58,51,13,0
Lenovo LOQ 15IRX9,2999,24.0,Intel Core i5-13450HX (13th Gen),15.6,Dos,Gray,512GB SSD M.2,16,False,Integrated 60Wh,SSD M.2,512.0,1920,1080,57,0,23,33,14,0
Lenovo Legion 5 16IRX9,6999,24.0,Intel Core i7-14650HX (14th Generation),16.0,Windows 11 Home,Luna Grey,1TB SSD M.2,16,False,Integrated 80Wh,SSD M.2,1024.0,2560,1600,77,6,33,36,14,1
HP EliteBook 830 G8,6999,36.0,Intel Core i7-1185G7 vPro (11th Gen),13.3,Windows 10 Professional,Silver,256GB SSD M.2,8,False,"HP Long Life 3-cell, 53 Wh Li-ion",SSD M.2,256.0,1920,1080,62,3,58,26,14,3
Dell Latitude 5440,6999,24.0,Intel Core i7-1355U (13th Gen),14.0,Dos,Gray,512GB SSD M.2,16,False,"3 Cell, integrated 54Wh",SSD M.2,512.0,1920,1080,70,0,23,2,14,3
ThinkPad X1 Carbon Gen 11,6999,36.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11 Professional,Deep Black,512GB SSD M.2,16,False,Integrated 57Wh,SSD M.2,512.0,1920,1200,70,8,11,31,14,3
ThinkPad E16 Gen 1 (Intel),6999,24.0,Intel Core i7-1355U (13th Gen),16.0,Dos,Graphite Black,512GB SSD M.2,8,False,Integrated 47Wh,SSD M.2,512.0,1920,1200,70,0,22,29,14,3
apple MacBook Air M2 (2024),6999,24.0,Apple M2 chip,13.6,macOS Monterey,Starlight,256GB SSD,16,False,52.6-watt‑hour lithium‑polymer battery,SSD,256.0,2560,1664,21,10,66,15,13,3
Dell Latitude 3440,6999,24.0,Intel Core i7-1355U (13th Gen),14.0,Dos,Black,512GB SSD M.2,8,False,"3 Cell, Integrated 42Wh",SSD M.2,512.0,1920,1080,70,0,5,1,14,3
Asus TUF Gaming FX507VU-LP165,4299,24.0,Intel Core i7-13620H (13th Gen),15.6,Dos,Mecha Gray,512GB SSD M.2,16,False,"90WHrs, 4S1P, 4-cell Li-ion",SSD M.2,512.0,1920,1080,72,0,34,22,14,0
Dell Latitude 3540,4299,24.0,Intel Core i7-1355U (13th Gen),15.6,Dos,Black,512GB SSD M.2,8,False,"3 Cell, Integrated 42Wh",SSD M.2,512.0,1920,1080,70,0,5,1,14,0
Asus TUF Gaming FX507ZV4-LP114,4899,24.0,Intel Core i7-12700H (12th Gen),15.6,Dos,Mecha Gray,1TB SSD M.2,32,False,"90WHrs, 4S1P, 4-cell Li-ion",SSD M.2,1024.0,1920,1080,69,0,34,22,14,1
Asus Vivobook 14 Flip TP3402ZA-LZ122W,2899,24.0,Intel Core i7-12700H (12th Gen),14.0,Windows 11 Home,Cool Silver,512GB SSD M.2,16,True,"3-cell Li-ion, 50WHrs, 3S1P",SSD M.2,512.0,1920,1200,69,6,8,5,14,0
Apple MacBook Air 13-inch M3,4649,24.0,Apple M3 chip,13.6,macOS Sonoma,Space Gray,256GB SSD,8,False,52.6-watt‑hour lithium‑polymer battery,SSD,256.0,2560,1664,23,12,63,15,13,0
Lenovo LOQ 15IRX9 Gaming,4349,24.0,Intel Core i7-13650HX (13th Gen),15.6,Dos,Luna Grey,512GB SSD M.2,16,False,Integrated 60Wh,SSD M.2,512.0,1920,1080,73,0,33,33,14,0
Acer Aspire 3 A315-58-57LP,1499,24.0,Intel Core i5-1135G7 (11th Gen),15.6,Dos,Pure Silver,512GB SSD M.2,8,False,36Wh Li-ion battery,SSD M.2,512.0,1920,1080,45,0,53,7,14,0
Acer Aspire 3 A315-59G-789P,2149,24.0,Intel Core i7-1255U (12th Gen),15.6,Dos,Pure Silver,512GB SSD M.2,8,False,40Wh Li-ion battery,SSD M.2,512.0,1920,1080,64,0,53,12,14,0
